id,document_number,title,url,legal_type,legal_sectors,issuing_authority,issuance_date,signers
127094,64/2011/NĐ-CP,Nghị định 64/2011/NĐ-CP quy định việc thi hành biện pháp bắt buộc chữa bệnh,https://thuvienphapluat.vn/van-ban/Trach-nhiem-hinh-su/Nghi-dinh-64-2011-ND-CP-thi-hanh-bien-phap-bat-buoc-chua-benh-127094.aspx,Nghị định,"Trách nhiệm hình sự, Thể thao - Y tế",Chính phủ,,Nguyễn Tấn Dũng:436
130662,92/2011/NĐ-CP,Nghị định 92/2011/NĐ-CP quy định về xử phạt vi phạm hành chính trong lĩnh vực bảo hiểm y tế,https://thuvienphapluat.vn/van-ban/Vi-pham-hanh-chinh/Nghi-dinh-92-2011-ND-CP-xu-phat-vi-pham-hanh-chinh-trong-linh-vuc-bao-hiem-130662.aspx,Nghị định,"Vi phạm hành chính, Thể thao - Y tế",Chính phủ,,Nguyễn Tấn Dũng:436
39145,33-CP,Nghị định 33-CP năm 1995 sửa đổi khoản 1 điều 6 Nghị định 95/CP về thu một phần viện phí,https://thuvienphapluat.vn/van-ban/Thue-Phi-Le-Phi/Nghi-dinh-33-CP-thu-mot-phan-vien-phi-de-sua-doi-khoan-1-dieu-6-cua-nghi-dinh-95-CP-39145.aspx,Nghị định,"Thuế - Phí - Lệ Phí, Thể thao - Y tế",Thủ tướng Chính phủ,,Võ Văn Kiệt:767
38716,06-CP,"Nghị định 06-CP năm 1994 về việc cụ thể hoá Pháp lệnh hành nghề y, dược tư nhân",https://thuvienphapluat.vn/van-ban/Doanh-nghiep/Nghi-dinh-06-CP-cu-the-hoa-Phap-lenh-hanh-nghe-y-duoc-tu-nhan-38716.aspx,Nghị định,"Doanh nghiệp, Thể thao - Y tế",Chính phủ,,Võ Văn Kiệt:767
38384,4-CP,Nghị định 4-CP năm 1992 về việc thành lập Tổng cục Thể dục thể thao,https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Nghi-dinh-4-CP-thanh-lap-Tong-cuc-The-duc-the-thao-38384.aspx,Nghị định,"Bộ máy hành chính, Thể thao - Y tế",Chính phủ,,Võ Văn Kiệt:767
38405,11-CP,"Nghị định 11-CP năm 1992 về chức năng, nhiệm vụ, quyền hạn và tổ chức bộ máy của Tổng cục Thể dục Thể thao",https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Nghi-dinh-11-CP-chuc-nang-nhiem-vu-quyen-han-va-to-chuc-bo-may-cua-Tong-cuc-The-duc-The-thao-38405.aspx,Nghị định,"Bộ máy hành chính, Thể thao - Y tế",Chính phủ,,Võ Văn Kiệt:767
38423,16-CP,Nghị định 16-CP năm 1992 quy định một số vấn đề về phòng và chống nhiễm HIV và SIDA,https://thuvienphapluat.vn/van-ban/The-thao-Y-te/Nghi-dinh-16-CP-quy-dinh-van-de-ve-phong-va-chong-nhiem-HIV-va-SIDA-38423.aspx,Nghị định,Thể thao - Y tế,Chính phủ,,Võ Văn Kiệt:767
23000,844-CTXH-NĐ,Nghị định 844-CTXH-NĐ năm 1956 về việc thành lập trại Sơ sinh do Bộ trưởng Bộ Cứu tế xã hội ban hành,https://thuvienphapluat.vn/van-ban/The-thao-Y-te/Nghi-dinh-844-CTXH-ND-thanh-lap-trai-So-sinh-23000.aspx,Nghị định,Thể thao - Y tế,Bộ Cứu tế Xã hội,,Nguyễn Xiển:547
22089,2333-BYT/NĐ,Nghị định 2333-BYT/NĐ năm 1957 về việc Thành lập Hội đồng giám định y khoa đặc biệt tại bệnh viện A do Bộ trưởng Bộ Y tế ban hành,https://thuvienphapluat.vn/van-ban/The-thao-Y-te/Nghi-dinh-2333-BYT-ND-Thanh-lap-Hoi-dong-giam-dinh-y-khoa-dac-biet-tai-benh-vien-A-22089.aspx,Nghị định,Thể thao - Y tế,Bộ Y tế,,Phạm Ngọc Thạch:1641
22545,112/2007/NĐ-CP,"Nghị định 112/2007/NĐ-CP Hướng dẫn Luật thể dục, thể thao",https://thuvienphapluat.vn/van-ban/The-thao-Y-te/Nghi-dinh-112-2007-ND-CP-huong-dan-Luat-the-duc-the-thao-22545.aspx,Nghị định,Thể thao - Y tế,Chính phủ,,Nguyễn Tấn Dũng:436
